bird_id,date_time
bvGx3,2019-04-08T10:56:24Z
t3w0r,2019-04-08T10:56:39Z
bvGx3,2019-04-08T10:56:44Z
bvGx3,2019-04-08T10:57:04Z
j7F15,2019-04-08T10:57:25Z
j7F15,2019-04-08T10:57:45Z
t3w0r,2019-04-08T10:57:59Z
j7F15,2019-04-08T10:58:05Z
t3w0r,2019-04-08T10:58:20Z
j7F15,2019-04-08T10:59:06Z
j7F15,2019-04-08T10:59:07Z
t3w0r,2019-04-08T10:59:20Z
j7F15,2019-04-08T10:59:27Z
f5NV7,2019-04-08T10:59:39Z
t3w0r,2019-04-08T10:59:40Z
j7F15,2019-04-08T10:59:47Z
j7F15,2019-04-08T10:59:47Z
t3w0r,2019-04-08T10:59:59Z
f5NV7,2019-04-08T10:59:59Z
bvGx3,2019-04-08T11:01:03Z
j7F15,2019-04-08T11:01:08Z
f5NV7,2019-04-08T11:01:19Z
j7F15,2019-04-08T11:01:28Z
f5NV7,2019-04-08T11:01:39Z
j7F15,2019-04-08T11:01:48Z
f5NV7,2019-04-08T11:01:59Z
j7F15,2019-04-08T11:02:09Z
f5NV7,2019-04-08T11:02:19Z
j7F15,2019-04-08T11:02:29Z
j7F15,2019-04-08T11:02:49Z
j7F15,2019-04-08T11:03:30Z
j7F15,2019-04-08T11:03:50Z
t3w0r,2019-04-08T11:05:22Z
t3w0r,2019-04-08T11:05:42Z
j7F15,2019-04-08T11:05:52Z
j7F15,2019-04-08T11:06:12Z
j7F15,2019-04-08T11:06:32Z
t3w0r,2019-04-08T11:06:42Z
t3w0r,2019-04-08T11:08:43Z
bvGx3,2019-04-08T11:13:58Z
bvGx3,2019-04-08T11:14:18Z
bvGx3,2019-04-08T11:14:38Z
bvGx3,2019-04-08T11:14:58Z
bvGx3,2019-04-08T11:15:18Z
bvGx3,2019-04-08T11:15:38Z
bvGx3,2019-04-08T11:15:58Z
f5NV7,2019-04-08T11:15:59Z
bvGx3,2019-04-08T11:16:18Z
f5NV7,2019-04-08T11:16:19Z
bvGx3,2019-04-08T11:16:38Z
f5NV7,2019-04-08T11:16:39Z
bvGx3,2019-04-08T11:16:57Z
bvGx3,2019-04-08T11:17:17Z
bvGx3,2019-04-08T11:17:37Z
f5NV7,2019-04-08T11:17:39Z
j7F15,2019-04-08T11:18:02Z
j7F15,2019-04-08T11:18:23Z
j7F15,2019-04-08T11:18:43Z
j7F15,2019-04-08T11:19:03Z
f5NV7,2019-04-08T11:19:19Z
j7F15,2019-04-08T11:19:24Z
f5NV7,2019-04-08T11:19:39Z
j7F15,2019-04-08T11:19:44Z
j7F15,2019-04-08T11:20:04Z
f5NV7,2019-04-08T11:20:19Z
j7F15,2019-04-08T11:20:25Z
f5NV7,2019-04-08T11:20:39Z
t3w0r,2019-04-08T11:20:46Z
f5NV7,2019-04-08T11:20:59Z
t3w0r,2019-04-08T11:21:06Z
j7F15,2019-04-08T11:21:25Z
t3w0r,2019-04-08T11:21:46Z
j7F15,2019-04-08T11:21:46Z
f5NV7,2019-04-08T11:21:59Z
f5NV7,2019-04-08T11:22:19Z
t3w0r,2019-04-08T11:22:27Z
f5NV7,2019-04-08T11:22:39Z
f5NV7,2019-04-08T11:22:59Z
t3w0r,2019-04-08T11:23:07Z
j7F15,2019-04-08T11:23:47Z
j7F15,2019-04-08T11:24:28Z
f5NV7,2019-04-08T11:25:18Z
t3w0r,2019-04-08T11:25:27Z
f5NV7,2019-04-08T11:25:58Z
t3w0r,2019-04-08T11:26:08Z
t3w0r,2019-04-08T11:26:28Z
f5NV7,2019-04-08T11:26:38Z
t3w0r,2019-04-08T11:26:48Z
f5NV7,2019-04-08T11:26:58Z
t3w0r,2019-04-08T11:27:08Z
j7F15,2019-04-08T11:27:10Z
f5NV7,2019-04-08T11:27:18Z
t3w0r,2019-04-08T11:27:28Z
f5NV7,2019-04-08T11:27:38Z
t3w0r,2019-04-08T11:27:48Z
f5NV7,2019-04-08T11:27:58Z
t3w0r,2019-04-08T11:28:08Z
f5NV7,2019-04-08T11:28:18Z
f5NV7,2019-04-08T11:28:38Z
f5NV7,2019-04-08T11:28:58Z
f5NV7,2019-04-08T11:29:38Z
j7F15,2019-04-08T11:29:53Z
f5NV7,2019-04-08T11:29:58Z
j7F15,2019-04-08T11:30:13Z
j7F15,2019-04-08T11:30:54Z
f5NV7,2019-04-08T11:30:58Z
t3w0r,2019-04-08T11:31:09Z
j7F15,2019-04-08T11:31:14Z
f5NV7,2019-04-08T11:31:18Z
j7F15,2019-04-08T11:31:54Z
f5NV7,2019-04-08T11:31:58Z
f5NV7,2019-04-08T11:32:18Z
j7F15,2019-04-08T11:32:35Z
f5NV7,2019-04-08T11:32:38Z
j7F15,2019-04-08T11:32:55Z
f5NV7,2019-04-08T11:32:58Z
j7F15,2019-04-08T11:33:16Z
f5NV7,2019-04-08T11:33:18Z
j7F15,2019-04-08T11:33:36Z
f5NV7,2019-04-08T11:33:38Z
j7F15,2019-04-08T11:33:56Z
f5NV7,2019-04-08T11:33:58Z
f5NV7,2019-04-08T11:34:18Z
j7F15,2019-04-08T11:34:37Z
f5NV7,2019-04-08T11:34:38Z
j7F15,2019-04-08T11:34:57Z
f5NV7,2019-04-08T11:34:58Z
f5NV7,2019-04-08T11:35:18Z
j7F15,2019-04-08T11:36:18Z
f5NV7,2019-04-08T11:36:38Z
j7F15,2019-04-08T11:36:39Z
f5NV7,2019-04-08T11:36:58Z
j7F15,2019-04-08T11:36:59Z
f5NV7,2019-04-08T11:37:18Z
j7F15,2019-04-08T11:37:19Z
f5NV7,2019-04-08T11:37:38Z
j7F15,2019-04-08T11:37:39Z
j7F15,2019-04-08T11:37:59Z
f5NV7,2019-04-08T11:38:18Z
j7F15,2019-04-08T11:38:20Z
f5NV7,2019-04-08T11:38:38Z
j7F15,2019-04-08T11:38:40Z
f5NV7,2019-04-08T11:38:58Z
j7F15,2019-04-08T11:39:01Z
f5NV7,2019-04-08T11:40:38Z
f5NV7,2019-04-08T11:40:58Z
f5NV7,2019-04-08T11:41:18Z
f5NV7,2019-04-08T11:41:38Z
f5NV7,2019-04-08T11:41:58Z
t3w0r,2019-04-08T11:42:12Z
f5NV7,2019-04-08T11:42:18Z
f5NV7,2019-04-08T11:42:38Z
f5NV7,2019-04-08T11:42:58Z
f5NV7,2019-04-08T11:43:18Z
bvGx3,2019-04-08T11:43:29Z
j7F15,2019-04-08T11:43:45Z
bvGx3,2019-04-08T11:43:49Z
j7F15,2019-04-08T11:44:05Z
bvGx3,2019-04-08T11:44:09Z
j7F15,2019-04-08T11:44:25Z
bvGx3,2019-04-08T11:44:29Z
j7F15,2019-04-08T11:44:46Z
bvGx3,2019-04-08T11:44:49Z
f5NV7,2019-04-08T11:44:58Z
j7F15,2019-04-08T11:45:06Z
bvGx3,2019-04-08T11:45:09Z
j7F15,2019-04-08T11:45:26Z
bvGx3,2019-04-08T11:45:28Z
bvGx3,2019-04-08T11:45:48Z
bvGx3,2019-04-08T11:46:08Z
t3w0r,2019-04-08T11:46:13Z
j7F15,2019-04-08T11:46:27Z
bvGx3,2019-04-08T11:46:28Z
bvGx3,2019-04-08T11:46:48Z
t3w0r,2019-04-08T11:46:53Z
bvGx3,2019-04-08T11:47:08Z
t3w0r,2019-04-08T11:47:13Z
f5NV7,2019-04-08T11:47:18Z
bvGx3,2019-04-08T11:47:28Z
t3w0r,2019-04-08T11:47:34Z
bvGx3,2019-04-08T11:47:48Z
t3w0r,2019-04-08T11:48:14Z
f5NV7,2019-04-08T11:48:38Z
bvGx3,2019-04-08T11:48:47Z
f5NV7,2019-04-08T11:48:58Z
bvGx3,2019-04-08T11:49:07Z
t3w0r,2019-04-08T11:49:14Z
